section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc46(1),high treason,indictable,life,life,None,None
cc46(2),treason,indictable,life,life,None,None
cc50(1)(a),assisting alien enemy to leave canada,indictable,None,14y,None,None
cc50(1)(b),omitting to prevent treason,indictable,None,14y,None,None
cc51,intimidating parliament or legislature,indictable,None,14y,None,None
cc52,sabotage,hybrid,None,10y,None,summary
cc52.1,sabotage — essential infrastructure,hybrid,None,10y,None,summary
cc52.2,sabotage — device,indictable,None,10y,None,None
cc53,inciting to mutiny,indictable,None,14y,None,None
cc54,assisting deserter,summary,None,None,None,summary
cc56,offences in relation to members of rcmp,summary,None,None,None,summary
cc56.1,identity documents,hybrid,None,5y,None,summary
cc57(1),forgery of or uttering forged passport,indictable,None,14y,None,None
cc57(2),false statement in relation to passport,hybrid,None,2y,None,summary
cc57(3),possession of forged passport,hybrid,None,5y,None,summary
cc58,fraudulent use of certificate of citizenship,hybrid,None,2y,None,summary
cc61,sedition,indictable,None,14y,None,None
cc62,offences in relation to military forces,hybrid,None,5y,None,summary
cc65(1),riot,hybrid,None,2y,None,summary
cc65(2),riot — concealment of identity,hybrid,None,10y,None,summary
cc66(1),unlawful assembly,summary,None,None,None,summary
cc66(2),unlawful assembly — concealment of identity,hybrid,None,5y,None,summary
cc68,offences related to proclamation,indictable,None,life,None,None
cc69,neglect by peace officer,hybrid,None,2y,None,summary
cc70,contravening an order in council,hybrid,None,5y,None,summary
cc72(1),forcible entry,hybrid,None,2y,None,summary
cc72(2),forcible detainer,hybrid,None,2y,None,summary
cc74,piracy,indictable,None,life,None,None
cc75,piratical acts,indictable,None,14y,None,None
cc76,hijacking,indictable,None,life,None,None
cc77,endangering safety of aircraft or airport,indictable,None,life,None,None
cc78,offensive weapons and explosive substances,indictable,None,14y,None,None
cc78.1(1),seizing control of ship or fixed platform,indictable,None,life,None,None
cc78.1(2),endangering safety of ship or fixed platform,indictable,None,life,None,None
cc78.1(3),false communication,indictable,None,life,None,None
cc78.1(4),threats causing death or injury,indictable,None,life,None,None
cc80(a),breach of duty re explosive — causing death,indictable,None,life,None,None
cc80(b),breach of duty re explosive — causing bodily harm,indictable,None,14y,None,None
cc81(1)(a),using explosives likely to cause serious harm,indictable,None,life,None,None
cc81(1)(b),handling explosives with harmful intent,indictable,None,life,None,None
cc81(1)(c),handling explosives with intent to damage property,indictable,None,14y,None,None
cc81(1)(d),making or possessing explosives with harmful intent,indictable,None,14y,None,None
cc82(1),possessing explosives,hybrid,None,5y,None,summary
cc82(2),possessing explosives — criminal organization,indictable,None,14y,None,None
cc82.3,possessing radioactive materials or devices,indictable,None,life,None,None
cc82.4,using radioactive materials or devices,indictable,None,life,None,None
cc82.5,commit indictable offence — radioactive materials,indictable,None,life,None,None
cc82.6,threatening to commit a radioactive materials offence,indictable,None,14y,None,None
cc83,prize fighting,summary,None,None,None,summary
cc83.02,collecting property for terrorist activities,indictable,None,10y,None,None
cc83.03(1),providing property or services for terrorist purposes,indictable,None,10y,None,None
cc83.03(2),providing property or services for use by a terrorist group,indictable,None,10y,None,None
cc83.04,using or possessing property for terrorist purposes,indictable,None,10y,None,None
cc83.08,dealing with terrorist property,hybrid,None,10y,None,729d-100000$-729d&100000$
cc83.1,failure to disclose terrorist property,hybrid,None,10y,None,729d-100000$-729d&100000$
cc83.11,failure to audit for listed entities,hybrid,None,10y,None,729d-100000$-729d&100000$
cc83.18,participaty in terrorist group activity,indictable,None,10y,None,None
cc83.181,leaving canada to participate in terrorist group activity,indictable,None,10y,None,None
cc83.19,facilitating terrorist activity,indictable,None,14y,None,None
cc83.191,leaving canada to facilitate terrorist activity,indictable,None,14y,None,None
cc83.2,commit indictable offence — benefit terrorist group,indictable,None,life,None,None
cc83.201,leave canada to commit offence for terrorist group,indictable,None,life,None,None
cc83.202,leaving canada to commit offence that is terrorist activity,indictable,None,14y,None,None
cc83.21,instructing to carry out activity for terrorist group,indictable,None,life,None,None
cc83.22,instructing to carry out terrorist activity,indictable,None,life,None,None
cc83.221,counselling commission of terrorism offence,indictable,None,5y,None,None
cc83.23(1)(a),concealing person who carried out terrorist activity — commit offence punishable by life,indictable,None,14y,None,None
cc83.23(1)(b),concealing person who carried out terrorist activity — other,indictable,None,10y,None,None
cc83.23(2),concealing person who is likely to carry out terrorist activity,indictable,None,10y,None,None
cc83.231(2),hoax — terrorist activity,hybrid,None,5y,None,summary
cc83.231(3),hoax causing bodily harm — terrorist activity,hybrid,None,10y,None,summary
cc83.231(4),hoax causing death — terrorist activity,indictable,None,life,None,None
cc83.27,terrorist activity,indictable,None,life,None,None
cc85(1),using firearm in commission of offence,indictable,None,14y,None,None
cc85(2),using imitation firearm in commission of offence,indictable,None,14y,None,None
cc86(1),careless use of firearm,hybrid,None,2y,None,summary
cc86(2),contravention of storage regulations — firearm,hybrid,None,2y,None,summary
cc87,pointing a firearm,hybrid,None,5y,None,summary
cc88,possesion of weapon for dangerous purpose,hybrid,None,10y,None,summary
cc89,carrying weapon while attending public meeting,summary,None,None,None,summary
cc90,carrying concealed weapon,hybrid,None,5y,None,summary
cc91(1),unauthorized possession of firearm,hybrid,None,5y,None,summary
cc91(2),unauthorized possession of prohibited weapon or restricted weapon,hybrid,None,5y,None,summary
cc92(1),possession of firearm knowing its possession is unauthorized,indictable,None,10y,None,None
cc92(2),possession of prohibited weapon device or ammunition knowing its possession is unauthorized,indictable,None,10y,None,None
cc93,possession at unauthorized place,hybrid,None,5y,None,summary
