section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc46(1),high treason,life,life,,
cc46(2),treason,life,life,,
cc50(1)(a),assisting alien enemy to leave canada,,14y,,
cc50(1)(b),omitting to prevent treason,,14y,,
cc51,intimidating parliament or legislature,,14y,,
cc52,sabotage,,10y,,summary
cc52.1,sabotage — essential infrastructure,,10y,,summary
cc52.2,sabotage — device,,10y,,
cc53,inciting to mutiny,,14y,,
cc54,assisting deserter,,,,summary
cc56,offences in relation to members of rcmp,,,,summary
cc56.1,identity documents,,5y,,summary
cc57(1),forgery of or uttering forged passport,,14y,,
cc57(2),false statement in relation to passport,,2y,,summary
cc57(3),possession of forged passport,,5y,,summary
cc58,fraudulent use of certificate of citizenship,,2y,,summary
cc61,sedition,,14y,,
cc62,offences in relation to military forces,,5y,,summary
cc65(1),riot,,2y,,summary
cc65(2),riot — concealment of identity,,10y,,summary
cc66(1),unlawful assembly,,,,summary
cc66(2),unlawful assembly — concealment of identity,,5y,,summary
cc68,offences related to proclamation,,life,,
cc69,neglect by peace officer,,2y,,summary
cc70,contravening an order in council,,5y,,summary
cc72(1),forcible entry,,2y,,summary
cc72(2),forcible detainer,,2y,,summary
cc74,piracy,,life,,
cc75,piratical acts,,14y,,
cc76,hijacking,,life,,
cc77,endangering safety of aircraft or airport,,life,,
cc78,offensive weapons and explosive substances,,14y,,
cc78.1(1),seizing control of ship or fixed platform,,life,,
cc78.1(2),endangering safety of ship or fixed platform,,life,,
cc78.1(3),false communication,,life,,
cc78.1(4),threats causing death or injury,,life,,
cc80(a),breach of duty re explosive — causing death,,life,,
cc80(b),breach of duty re explosive — causing bodily harm,,14y,,
cc81(1)(a),using explosives likely to cause serious harm,,life,,
cc81(1)(b),handling explosives with harmful intent,,life,,
cc81(1)(c),handling explosives with intent to damage property,,14y,,
cc81(1)(d),making or possessing explosives with harmful intent,,14y,,
cc82(1),possessing explosives,,5y,,summary
cc82(2),possessing explosives — criminal organization,,14y,,
cc82.3,possessing radioactive materials or devices,,life,,
cc82.4,using radioactive materials or devices,,life,,
cc82.5,commit indictable offence — radioactive materials,,life,,
cc82.6,threatening to commit a radioactive materials offence,,14y,,
cc83,prize fighting,,,,summary
cc83.02,collecting property for terrorist activities,,10y,,
cc83.03(1),providing property or services for terrorist purposes,,10y,,
cc83.03(2),providing property or services for use by a terrorist group,,10y,,
cc83.04,using or possessing property for terrorist purposes,,10y,,
cc83.08,dealing with terrorist property,,10y,,729d-100000$-729d&100000$
cc83.1,failure to disclose terrorist property,,10y,,729d-100000$-729d&100000$
cc83.11,failure to audit for listed entities,,10y,,729d-100000$-729d&100000$
cc83.18,participaty in terrorist group activity,,10y,,
cc83.181,leaving canada to participate in terrorist group activity,,10y,,
cc83.19,facilitating terrorist activity,,14y,,
cc83.191,leaving canada to facilitate terrorist activity,,14y,,
cc83.2,commit indictable offence — benefit terrorist group,,life,,
cc83.201,leave canada to commit offence for terrorist group,,life,,
cc83.202,leaving canada to commit offence that is terrorist activity,,14y,,
cc83.21,instructing to carry out activity for terrorist group,,life,,
cc83.22,instructing to carry out terrorist activity,,life,,
cc83.221,counselling commission of terrorism offence,,5y,,
cc83.23(1)(a),concealing person who carried out terrorist activity — commit offence punishable by life,,14y,,
cc83.23(1)(b),concealing person who carried out terrorist activity — other,,10y,,
cc83.23(2),concealing person who is likely to carry out terrorist activity,,10y,,
cc83.231(2),hoax — terrorist activity,,5y,,summary
cc83.231(3),hoax causing bodily harm — terrorist activity,,10y,,summary
cc83.231(4),hoax causing death — terrorist activity,,life,,
cc83.27,terrorist activity,,life,,
cc85(1),using firearm in commission of offence,,14y,,
cc85(2),using imitation firearm in commission of offence,,14y,,
cc86(1),careless use of firearm,,2y,,summary
cc86(2),contravention of storage regulations — firearm,,2y,,summary
cc87,pointing a firearm,,5y,,summary
cc88,possesion of weapon for dangerous purpose,,10y,,summary
cc89,carrying weapon while attending public meeting,,,,summary
cc90,carrying concealed weapon,,5y,,summary
cc91(1),unauthorized possession of firearm,,5y,,summary
cc91(2),unauthorized possession of prohibited weapon or restricted weapon,,5y,,summary
cc92(1),possession of firearm knowing its possession is unauthorized,,10y,,
cc92(2),possession of prohibited weapon device or ammunition knowing its possession is unauthorized,,10y,,
cc93,possession at unauthorized place,,5y,,summary
cc94,unauthorized possession in motor vehicle,,10y,,summary
cc95,possession of prohibited or restricted firearm with ammunition,,14y,,summary
cc96,possession of weapon obtained by commission of offence,,14y,,summary
cc98,breaking and entering to steal firearm,,life,,
cc98.1,robbery to steal firearm,,life,,
cc99(2),weapons trafficking — firearm — first offence,3y,14y,,
cc99(2),weapons trafficking — firearm — subsequent offence,5y,14y,,
cc99(3),weapons trafficking — other,,14y,,
cc100(2),possession for purpose of weapons trafficking — firearm — first offence,3y,14y,,
cc100(2),possession for purpose of weapons trafficking — firearm — subsequent offence,5y,14y,,
cc100(3),possession for purpose of weapons trafficking — other,,14y,,
cc101,transfer without authority,,5y,,summary
cc102,making automatic firearm,1y,10y,,summary
cc102.1,possession or distribution of computer data — firearm manufacture,,10y,,summary
cc103(2),importing or exporting knowing it is unauthorized — firearm — first offence,3y,14y,,
cc103(2),importing or exporting knowing it is unauthorized — firearm — subsequent offence,5y,14y,,
cc103(3),importing or exporting knowing it is unauthorized — other,,14y,,
cc104,importing or exporting knowing it is unauthorized — firearm,,5y,,summary
cc104.1,altering cartridge magazine,,5y,,summary
cc105,losing or finding — firearm,,5y,,summary
cc106,destroying — firearm,,5y,,summary
cc107,false statements — firearm,,5y,,summary
cc108,tampering with serial number,,5y,,summary
cc117.01,possession contrary to order,,10y,,summary
cc119,bribery of judicial officers,,14y,,
cc120,bribery of officers,,14y,,
cc121,frauds on the government,,5y,,summary
cc121.1,selling tobacco products and raw leaf tobacco,,5y,,summary
cc122,breach of trust by public officer,,5y,,summary
cc123,municipal corruption,,5y,,
cc123(1),municipal corruption,,,,summary
cc123(2),influencing municipal official,,5y,,summary
cc124,selling or purchasing office,,5y,,summary
cc125,influencing or negotiating appointments or dealing in offices,,5y,,summary
cc126,disobeying a statute,,2y,,summary
cc127,disobeying order of court,,2y,,summary
cc128,misconduct of officers executing process,,2y,,summary
cc129,offences relating to public or peace officer,,2y,,summary
cc130,personating peace officer,,5y,,summary
cc132,perjury,,14y,,
cc136,witness giving contradictory evidence,,14y,,
cc137,fabricating evidence,,14y,,
cc138,offences relating to affidavits,,14y,,
cc139(1),obstructing justice — surety indemnity,,2y,,summary
cc139(2),obstructing justice — other,,10y,,summary
cc140,public mischief,,5y,,summary
cc141,compounding indictable offence,,2y,,summary
cc142,corruptly taking reward for recovery of goods,,5y,,summary
cc144,prison breach,,10y,,summary
cc145(1),escape and being at large without excuse,,2y,,summary
cc145(2),failure to attend court or surrender,,2y,,summary
cc145(3),failure to comply with appearance notice or summons,,2y,,summary
cc145(4),failure to comply with undertaking,,2y,,summary
cc145(5),failure to comply with order,,2y,,summary
cc146,permitting or assisting escape,,14y,,summary
cc147,rescue or permitting escape,,5y,,summary
cc148,assisting prisoner of war to escape,,5y,,summary
cc151,sexual interference,1y,14y,90d,729d
cc152,invitation to sexual touching,1y,14y,90d,729d
cc153,sexual exploitation,1y,14y,90d,729d
cc153.1,sexual exploitation of person with disability,,10y,,summary
cc155,incest — under 16,5y,14y,,
cc155,incest — other,,14y,,
cc160(1),bestiality,,10y,,summary
cc160(2),compelling the commission of bestiality,,10y,,summary
cc160(3),bestiality in presence of or by child,1y,14y,6m,summary
cc161(4),failure to comply with 161 order,,4y,,summary
cc162(1),voyeurism,,5y,,summary
cc162(4),printing publication of voyeuristic recordings,,5y,,summary
cc162.1,publication of an intimate image without consent,,5y,,summary
cc162.2(4),failure to comply with prohibition order,,4y,,summary
cc163,obscene materials,,2y,,summary
cc163.1(2),making child pornography,1y,14y,,
cc163.1(3),distribution of child pornography,1y,14y,,
cc163.1(4),possession of child pornography,1y,10y,6m,729d
cc163.1(4.1),accessing child pornography,1y,10y,6m,729d
cc167,immoral theatrical performance,,2y,,summary
cc168,mailing obscene matter,,2y,,summary
cc170,parent or guardian procuring sexual activity,1y,14y,,
cc171,householder permitting sexual activity,1y,14y,,
cc171.1,making sexually explicit material available to child,6m,14y,90d,729d
cc172,corrupting children,,2y,,summary
cc172.1,luring a child,1y,14y,6m,729d
cc172.2,agreement or arrangement — sexual offence against child,1y,14y,6m,729d
cc173(1),indecent acts,,2y,,summary
cc173(2),exposure,90,2y,30,6m
cc174,nudity,,,,summary
cc175,cause disturbance,,,,summary
cc176,obstructing or violence to or arrest of officiating clergyman,,2y,,summary
cc177,trespassing at night,,,,summary
cc180,common nuisance,,2y,,summary
cc182,dead body,,5y,,summary
cc184,interception,,5y,,summary
cc184.5,interception of radio-based telephone,,5y,,summary
cc191,possession — private communication interception device,,2y,,summary
cc193,disclosure of information,,2y,,summary
cc193.1,disclosure of information received from interception of radio-based telephone communications,,2y,,summary
cc201(1),keeping gaming or betting house,,2y,,summary
cc201(2),person found in or owner permitting use,,,,summary
cc202,betting pool-selling book-making — first offence,,2y,,
cc202,betting pool-selling book-making — second offence,14d,2y,,
cc202,betting pool-selling book-making — subsequent offence,3m,2y,,
cc203,placing bets on behalf of others — first offence,,2y,,
cc203,placing bets on behalf of others — second offence,14d,2y,,
cc203,placing bets on behalf of others — subsequent offence,3m,2y,,
cc204,contravention — horse racing regulations,,2y,,summary
cc206(1),offence in relation to lotteries and games of chance,,2y,,
cc206(4),ticket sales in relation to lotteries and games of chance,,,,summary
cc207(3)(a),offence — permitted lotteries — unauthorized management or operation,,2y,,summary
cc207(3)(b),offence — permitted lotteries — unauthorized participation,,,,summary
cc207.1(3)(a),offence — lottery scheme on an international cruise ship — unauthorized management or operation,,2y,,summary
cc207.1(3)(b),offence — lottery scheme on an international cruise ship — unauthorized participation,,,,summary
cc209,cheating at play,,2y,,summary
cc213(1),stopping or impeding traffic — sexual services for consideration,,,,summary
cc213(1.1),communicating to provide sexual services for consideration,,,,summary
cc215,offence — duty of persons to provide necessaries,,5y,,summary
cc218,abandoning child,,5y,,summary
cc220(a),criminal negligence causing death — firearm,4y,life,,
cc220(b),criminal negligence causing death — other,,life,,
cc221,criminal negligence causing bodily harm,,10y,,summary
cc231(2),murder — first degree,life,life,,
cc231(7),murder — second degree,life,life,,
cc236(a),manslaughter — firearm,4y,life,,
cc236(b),manslaughter,,life,,
cc237,infanticide,,5y,,summary
cc238,killing unborn child in act of birth,,life,,
cc239(1)(a),attempt to commit murder — restricted or prohibited firearm — first offence,5y,life,,
cc239(1)(a),attempt to commit murder — restricted or prohibited firearm — subsequent offence,7y,life,,
cc239(1)(a.1),attempt to commit murder — firearm,4y,life,,
cc239(1)(b),attempt to commit murder,,life,,
cc240,accessory after the fact to murder,,life,,
cc240.1,removal without informed consent — trafficking in human organs,,14y,,
cc241,counselling or aiding suicide,,14y,,
cc241.3,failure to comply with safeguards — medical assistance in dying,,5y,,summary
cc241.31(4),failure to comply — filing information — medical assistance in dying,,2y,,summary
cc241.31(5),failure to comply — regulations — medical assistance in dying,,2y,,summary
cc241.4,forgery — medical assistance in dying,,5y,,summary
cc242,neglect to obtain assistance in childbirth,,5y,,summary
cc243,concealing body of child,,2y,,summary
cc244(2)(a),discharging firearm with intent — restricted or prohibited firearm — first offence,5y,life,,
