section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
cdsa4(3),possession of substance — schedule i — first offence,,7y,,1000$&6m
cdsa4(3),possession of substance — schedule i — subsequent offence,,7y,,2000$&1y
cdsa4(4),possession of substance — schedule ii — first offence,,1824d,,1000$&6m
cdsa4(4),possession of substance — schedule ii — subsequent offence,,1824d,,2000$&1y
cdsa4(6),possession of substance — schedule iii — first offence,,3y,,1000$&6m
cdsa4(6),possession of substance — schedule iii — subsequent offence,,3y,,2000$&1y
cdsa4(7)(a)(i),obtaining substance — schedule i — first offence,,7y,,1000$&6m
cdsa4(7)(a)(i),obtaining substance — schedule i — subsequent offence,,7y,,2000$&1y
cdsa4(7)(a)(ii),obtaining substance — schedule ii — first offence,,1824d,,1000$&6m
cdsa4(7)(a)(ii),obtaining substance — schedule ii — subsequent offence,,1824d,,2000$&1y
cdsa4(7)(a)(iii),obtaining substance — schedule iii — first offence,,3y,,1000$&6m
cdsa4(7)(a)(iii),obtaining substance — schedule iii — subsequent offence,,3y,,2000$&1y
cdsa4(7)(a)(iv),obtaining substance — schedule iv — first offence,,5y,,1000$&6m
cdsa4(7)(a)(iv),obtaining substance — schedule iv — subsequent offence,,5y,,2000$&1y
cdsa5(3)(a),trafficking in substance — schedule i or ii,,999y,,
cdsa5(3)(b),trafficking in substance — schedule iii or v,,10y,,18m
cdsa5(3)(c),trafficking in substance — schedule iv,,3y,,1y
cdsa6(3)(a),importing substance — schedule i or ii,,999y,,
cdsa6(3)(b),importing substance — schedule iii or v or vi,,10y,,18m
cdsa6(3)(c),importing substance — schedule iv,,3y,,1y
cdsa7(1),production of substance — schedule i or ii,,999y,,
cdsa7(2),production of substance — schedule iii or v,,999y,,18m
cdsa7(3),production of substance — schedule iv,,3y,,1y
cdsa7.1(2)(a),possession sale for use in production of or trafficking in substance — schedule i or ii or ii or v,,10y,,18m
cdsa7.1(2)(b),possession sale for use in production of or trafficking in substance — schedule iv,,3y,,1y
