uid,offence,date,jail,mode,conditions,fine,appeal
2024mbpc68_1,cc_286.3(2),2021-07-01&2021-09-07,5y,jail-consecutive,,,
2024mbpc68_2,cc_163.1(3),2021-07-01&2021-09-07,1y,jail-consecutive,,,
2024mbpc68_3,cc_172.1,2021-07-01&2021-09-07,2y,jail-concurrent,,,
2024mbpc77_1,cc_348(1)(d),2022-07-16,5y,jail-consecutive,,,
2024mbpc77_2,cc_117.01,2022-07-16,1y,jail-concurrent,,,
2024mbpc77_3,cc_320.18,2022-07-16,6m,jail-concurrent,,,
2024mbpc77_4,cc_320.17,2022-07-22,1y,jail-consecutive,,,
2024mbpc77_5,cc_320.18,2022-07-22,6m,jail-concurrent,,,
2024mbpc77_6,cc_129,2022-07-27,1y,jail-consecutive,,,
2024mbpc84_1,cc_236(b),2023-11-11,3y,jail-consecutive,,,
2024mbpc84_2,cc_344(1)(b),2023-11-11,24m,jail-concurrent,,,
2024mbpc84_3,cc_91(2)_ycja,2023-11-26,9m,jail-concurrent,,,
2024mbpc82_1,cc_271(a),2005-01-01&2006-12-31,2y,jail-consecutive,,,
2024mbpc82_2,cc_271(a),2008-01-01&2008-06-18,2y,jail-consecutive,,,
2024mbpc82_3,cc_271(a),2007-09-01&2008-06-30,1.5y,jail-consecutive,,,
2024mbpc82_4,cc_271(a),2008-04-01&2011-11-30,2y,jail-consecutive,,,
2024mbpc82_5,cc_271(a),2006-03-01&2008-06-30,1y,jail-consecutive,,,
2024mbpc82_6,cc_271(a),2003-09-01&2006-06-30,2.5y,jail-consecutive,,,
2024mbpc82_7,cc_271(b),2007-09-01&2008-01-31,2y,jail-consecutive,,,
2024mbpc82_8,cc_271(a),2005-07-01&2008-08-31,1y,jail-consecutive,,,
2024mbpc82_9,cc_271(a),2012-09-01&2016-08-31,2y,jail-consecutive,,,
2024mbpc82_10,cc_172.1,2003-09-01&2008-06-18,4y,jail-consecutive,,,
2024mbpc82_11,cc_172.1,2007-09-01&2012-09-16,4y,jail-concurrent,,,
2024mbpc78_1,cdsa_5(2),2021-11-04,729d,cso-consecutive,3y-probation,,
2024mbpc75_1,cc_348(1)(d),2023-03-19,10y,jail-consecutive,,,
2024mbpc75_2,cc_268,2023-03-19,10y,jail-concurrent,,,
2024mbpc75_3,cc_733.1,2023-03-19,1y,jail-concurrent,,,
2024mbpc73_1,cc_239(1)(b),2022-08-15,8y,jail-consecutive,,,
2024mbpc73_2,cc_88,2022-08-15,6m,jail-concurrent,,,
2024mbpc73_3,cc_91(1),2022-08-15,1y,jail-concurrent,,,
2024mbpc73_4,cc_86(1),2022-08-15,1y,jail-concurrent,,,
2024mbpc70_1,cc_151,2015-04-01&2015-11-30,5y,jail-consecutive,,,
2024mbpc70_2,cc_271,2015-04-01&2015-11-30,5y,jail-concurrent,,,
