uid,offence,date,jail,mode,conditions,fine,appeal
2024qccq6895_635-01-022912-233_1,cc_348(1)(d),2023-10-16,1277d,jail-consecutive,,,
2024qccq6967_750-01-054664-188_1,cc_149,1970-09-01&1981-07-01,10m,jail-consecutive,,,
2024qccq6967_750-01-054664-188_2,cc_149,1970-09-01&1981-07-01,5m,jail-consecutive,,,
2024qccq6967_750-01-054664-188_3,cc_149,1970-09-01&1981-07-01,16m,jail-consecutive,,,
2024qccq6967_750-01-054664-188_4,cc_149,1970-09-01&1981-07-01,7m,jail-consecutive,,,
2024qccq6967_750-01-054664-188_5,cc_149,1970-09-01&1981-07-01,5m,jail-consecutive,,,
2024qccq6967_750-01-054870-199_1,cc_149,1987-09-01&1988-07-01,10m,jail-consecutive,,,
2024qccq6967_750-01-054870-199_2,cc_149,1987-09-01&1988-07-01,7m,jail-consecutive,,,
2024qccq6968_500-01-237163-222_1,cc_266,2024-12-04,,,24m-discharge,,
2024qccq7100_500-01-217106-217_1,cc_95,2021-03-16,5y,jail-consecutive,2y-probation,,
2024qccq7100_500-01-217106-217_2,cc_129,2021-03-16,1y,jail-concurrent,2y-probation,,
2024qccq7100_500-01-217107-215_1,cc_117.01,2021-03-16,1y,jail-consecutive,2y-probation,,
2024qccq7210_460-01-041096-227_1,cc_172.1,2022-07-21&2022-08-09,90d,jail-intermittent,3y-probation,,
